window_time,flow_count,total_packets,packet_rate,total_bytes,byte_rate,duration_mean,duration_std,fwd_pkt_len_mean,bwd_pkt_len_mean,iat_mean,syn_ratio,rst_ratio,ack_ratio,fin_ratio,tcp_ratio,udp_ratio,risk,stage
2026-03-15 08:00:00,9.0,245.0,24.5,85461.0,8546.1,127452.47786458333,59333.4484309627,341.97025129530164,694.5643751356337,5955.418375651042,0.4444444444444444,0.2222222222222222,1.0,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.0,0
2026-03-15 08:00:10,8.0,195.0,19.5,94446.0,9444.6,106712.958984375,52321.84806414612,299.01038551330566,640.0360813140869,5779.137496948242,0.125,0.125,1.0,0.0,0.625,0.375,0.0,0
2026-03-15 08:00:20,9.0,277.0,27.7,105596.0,10559.6,126511.19097222222,61277.923442599225,272.2744386461046,703.2449713812935,5943.089816623264,0.3333333333333333,0.0,1.0,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.0,0
2026-03-15 08:00:30,8.0,224.0,22.4,94563.0,9456.3,135571.5048828125,39460.444066803466,337.3189125061035,678.2008285522461,7354.254501342773,0.375,0.25,1.0,0.0,1.0,0.0,0.0,0
2026-03-15 08:00:40,8.0,192.0,19.2,72584.0,7258.4,83459.37377929688,37523.65762269865,380.2815818786621,593.0525016784668,6359.385894775391,0.375,0.0,1.0,0.25,0.75,0.25,0.0,0
2026-03-15 08:00:50,9.0,252.0,25.2,93285.0,9328.5,127879.59722222222,54334.5869999425,268.74131139119464,679.0974290635851,6794.019029405382,0.2222222222222222,0.0,1.0,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.0,0
2026-03-15 08:01:00,8.0,183.0,18.3,68041.0,6804.1,106081.03128051758,71268.58911295251,343.53683853149414,722.4138793945312,7022.123947143555,0.5,0.0,1.0,0.375,0.75,0.25,0.0,0
2026-03-15 08:01:10,8.0,188.0,18.8,101386.0,10138.6,115825.02856445312,60507.616716161065,315.1451930999756,625.1973152160645,6240.78991317749,0.375,0.0,1.0,0.125,0.75,0.25,0.0,0
2026-03-15 08:01:20,9.0,266.0,26.6,79774.0,7977.4,115098.63693576389,50335.79427930468,327.2359449598524,508.92008802625867,5622.023484971788,0.0,0.0,1.0,0.4444444444444444,0.8888888888888888,0.1111111111111111,0.0,0
2026-03-15 08:01:30,8.0,275.0,27.5,106346.0,10634.6,104340.82611083984,59143.56492296523,380.60160064697266,561.9859237670898,7234.144302368164,0.25,0.125,1.0,0.375,0.75,0.25,0.0,0
2026-03-15 08:01:40,8.0,225.0,22.5,108700.0,10870.0,104569.68115234375,34531.49599294085,278.569034576416,652.5519390106201,5921.915447235107,0.125,0.25,1.0,0.125,0.625,0.375,0.0,0
2026-03-15 08:01:50,8.0,261.0,26.1,84568.0,8456.8,83540.9609375,41672.08509183698,229.8012866973877,570.7374048233032,7182.377332687378,0.375,0.0,1.0,0.375,0.75,0.25,0.0,0
2026-03-15 08:02:00,9.0,274.0,27.4,113348.0,11334.8,94755.56404622395,62180.315739611375,393.68456692165796,537.2568427191841,8493.79143608941,0.0,0.0,1.0,0.1111111111111111,0.5555555555555556,0.4444444444444444,0.0,0
2026-03-15 08:02:10,8.0,216.0,21.6,97819.0,9781.9,107958.25646972656,41789.82793684185,357.34124279022217,632.9403429031372,6179.645980834961,0.5,0.0,1.0,0.0,0.75,0.25,0.0,0
2026-03-15 08:02:20,9.0,253.0,25.3,135882.0,13588.2,108000.84971788194,59957.34708611031,350.105399661594,514.0828382703993,5988.49612765842,0.2222222222222222,0.1111111111111111,1.0,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.0,0
2026-03-15 08:02:30,8.0,181.0,18.1,69324.0,6932.4,70334.74719238281,52038.65682931607,245.9287838935852,507.4649648666382,8278.229278564453,0.75,0.0,1.0,0.5,0.75,0.25,0.0,0
2026-03-15 08:02:40,8.0,259.0,25.9,74741.0,7474.1,99437.31561279297,74263.55938195181,406.82814025878906,816.6927375793457,8391.389663696289,0.75,0.0,1.0,0.375,0.625,0.375,0.0,0
2026-03-15 08:02:50,8.0,249.0,24.9,90111.0,9011.1,57140.81081390381,46864.420075902046,392.7849326133728,660.1184844970703,7263.830383300781,0.25,0.0,1.0,0.25,0.75,0.25,0.0,0
2026-03-15 08:03:00,9.0,304.0,30.4,101638.0,10163.8,100840.2421875,61570.715994199774,311.6043226453993,583.6355463663737,9728.450575086805,0.3333333333333333,0.1111111111111111,1.0,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.0,0
2026-03-15 08:03:10,8.0,206.0,20.6,98579.0,9857.9,94887.72338867188,56001.59372957613,422.2214756011963,639.5228519439697,6651.6092529296875,0.125,0.0,1.0,0.125,0.625,0.375,0.0,0
2026-03-15 08:03:20,9.0,211.0,21.1,95808.0,9580.8,75906.17388237847,64858.60252489924,244.41370561387805,610.0253499348959,7097.561747233073,0.3333333333333333,0.1111111111111111,1.0,0.3333333333333333,0.8888888888888888,0.1111111111111111,0.0,0
2026-03-15 08:03:30,8.0,231.0,23.1,100841.0,10084.1,103767.7333984375,40863.40659794433,383.6623954772949,637.6193513870239,6548.136749267578,0.25,0.125,1.0,0.375,0.625,0.375,0.0,0
